year,rank,title,imdb_score,num_ratings
2003,1,The Lord of the Rings: The Return of the King,9,2144362
2002,2,City of God,8.6,864265
2000,3,"Crouching Tiger, Hidden Dragon",7.9,292904
2002,4,The Pianist,8.5,1003318
2006,5,The Departed,8.5,1540193
2003,6,Mystic River,7.9,518408
2007,7,No Country for Old Men,8.2,1174441
2006,8,Pan's Labyrinth,8.2,742822
2005,9,Brokeback Mountain,7.7,413755
2001,10,The Lord of the Rings: The Fellowship of the Ring,8.9,2185092
2007,11,There Will Be Blood,8.2,700938
2000,12,Traffic,7.5,229351
2007,13,The Diving Bell and the Butterfly,8,112650
2000,14,Gladiator,8.5,1830068
2000,15,Yi Yi,8.1,33389
2008,16,The Hurt Locker,7.5,493910
2006,17,Letters from Iwo Jima,7.8,176350
2009,18,Avatar,7.9,1485469
2001,19,Mulholland Drive,7.9,423816
2002,20,The Lord of the Rings: The Two Towers,8.8,1937865
2006,21,Children of Men,7.9,562023
2002,22,Chicago,7.2,255199
2008,23,Slumdog Millionaire,8,906785
2005,24,Capote,7.3,148631
2003,25,Lost in Translation,7.7,524606
2001,26,Moulin Rouge!,7.5,312646
2004,27,Sideways,7.5,216051
2001,28,Spirited Away,8.6,955386
2001,29,A Beautiful Mind,8.2,1047209
2004,30,Eternal Sunshine of the Spotless Mind,8.3,1172607
2004,31,Million Dollar Baby,8.1,761685
2008,32,The Dark Knight,9.1,3133335
2009,33,Precious,7.3,120518
2004,34,Crash,7.7,460649
2004,35,Ray,7.7,164501
2002,36,Gangs of New York,7.5,501648
2004,37,The Aviator,7.5,405049
2005,38,Munich,7.5,251989
2009,39,Inglourious Basterds,8.4,1760419
2000,40,In the Mood for Love,8,186001
2001,41,Shrek,7.9,802919
2000,42,Almost Famous,7.9,313145
2000,43,Memento,8.4,1423641
2006,44,Babel,7.4,327867
2001,45,Harry Potter and the Sorcerer's Stone,7.7,942132
2003,46,Master and Commander: The Far Side of the World,7.5,253696
2002,47,Talk to Her,7.9,121322
2004,48,Harry Potter and the Prisoner of Azkaban,7.9,759253
2005,49,Cinderella Man,8,208115
2002,50,Adaptation.,7.6,213024
2009,51,Up,8.3,1223661
2002,52,The Hours,7.5,146418
2005,53,Pride & Prejudice,7.8,371625
2000,54,Dancer in the Dark,7.9,123197
2004,55,Hotel Rwanda,8.1,390253
2005,56,Walk the Line,7.8,279218
2000,57,"O Brother, Where Art Thou?",7.7,349540
2003,58,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,1311214
2001,59,Gosford Park,7.2,101478
2005,60,"Good Night, and Good Luck.",7.4,104819
2006,61,Little Miss Sunshine,7.8,553526
2002,62,Harry Potter and the Chamber of Secrets,7.5,758732
2003,63,Oldboy,8.3,709943
2005,64,Star Wars: Episode III - Revenge of the Sith,7.7,913151
2003,65,Seabiscuit,7.3,79752
2008,66,The Class,7.5,37415
2007,67,"4 Months, 3 Weeks and 2 Days",7.9,65509
2009,68,Crazy Heart,7.2,98727
2004,69,The Passion of the Christ,7.3,269139
2004,70,Spider-Man 2,7.5,775200
2001,71,The Royal Tenenbaums,7.6,331003
2007,72,Atonement,7.8,325479
2008,73,WALL·E,8.4,1307125
2000,74,Before Night Falls,7.1,27160
2003,75,Kill Bill: Vol. 1,8.2,1293948
2004,76,Kill Bill: Vol. 2,8,862521
2008,77,The Curious Case of Benjamin Button,7.8,740227
2003,78,21 Grams,7.6,252742
2001,79,Amélie,8.3,835059
2008,80,Frost/Nixon,7.6,115670
2007,81,Sweeney Todd: The Demon Barber of Fleet Street,7.3,404924
2001,82,Donnie Darko,8,905086
2004,83,Collateral,7.5,464001
2002,84,Spider-Man,7.4,957231
2008,85,The Wrestler,7.9,330089
2001,86,Monster's Ball,7,98017
2001,87,Black Hawk Down,7.7,451470
2001,88,In the Bedroom,7.4,44202
2000,89,Cast Away,7.8,683984
2009,90,The Blind Side,7.6,384169
2005,91,A History of Violence,7.4,271192
2001,92,The Others,7.6,423869
2003,93,Finding Nemo,8.2,1197103
2006,94,The Prestige,8.5,1571659
2004,95,Before Sunset,8.1,312076
2003,96,Cold Mountain,7.2,163480
2000,97,Erin Brockovich,7.5,243289
2009,98,An Education,7.2,140784
2004,99,Finding Neverland,7.6,216804
2005,100,The Constant Gardener,7.3,155199
